"COU","Country","GFT_CAT","Category","CONTRIB","Contribution","UNIT","Measure","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EST","Estonia","A_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,34747.973,,
"EST","Estonia","A_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,29647.107,,
"EST","Estonia","A_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,8415.409,,
"EST","Estonia","A_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,19558.964,,
"EST","Estonia","A_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,95974.293,,
"EST","Estonia","A_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,93421.25,,
"EST","Estonia","A_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,43076,,
"THA","Thailand","M_GS","General Services","GFT_TOT","Total contribution to GFT","USD","US dollar","2004","2004","USD","US Dollar","0","Units",,,8631386.224,,
"THA","Thailand","M_GS","General Services","GFT_TOT","Total contribution to GFT","USD","US dollar","2005","2005","USD","US Dollar","0","Units",,,10225925.423,,
"THA","Thailand","M_GS","General Services","GFT_TOT","Total contribution to GFT","USD","US dollar","2006","2006","USD","US Dollar","0","Units",,,10277175.002,,
"THA","Thailand","M_GS","General Services","GFT_TOT","Total contribution to GFT","USD","US dollar","2007","2007","USD","US Dollar","0","Units",,,4114156.585,,
"THA","Thailand","M_GS","General Services","GFT_TOT","Total contribution to GFT","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,4610147.21,,
"THA","Thailand","M_GS","General Services","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,4520924.61,,
"THA","Thailand","M_GS","General Services","GFT_TOT","Total contribution to GFT","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,4381381.703,,
"THA","Thailand","M_GS","General Services","GFT_TOT","Total contribution to GFT","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,5831861.639,,
"THA","Thailand","M_GS","General Services","GFT_TOT","Total contribution to GFT","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,6856671.64,,
"USA","United States","M_GS_M","Management services","GFT_TOT","Total contribution to GFT","USD","US dollar","2004","2004","USD","US Dollar","0","Units",,,261370000,,
"USA","United States","M_GS_M","Management services","GFT_TOT","Total contribution to GFT","USD","US dollar","2005","2005","USD","US Dollar","0","Units",,,175500000,,
"USA","United States","M_GS_M","Management services","GFT_TOT","Total contribution to GFT","USD","US dollar","2006","2006","USD","US Dollar","0","Units",,,667227000,,
"USA","United States","M_GS_M","Management services","GFT_TOT","Total contribution to GFT","USD","US dollar","2007","2007","USD","US Dollar","0","Units",,,683461000,,
"USA","United States","M_GS_M","Management services","GFT_TOT","Total contribution to GFT","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,667151000,,
"USA","United States","M_GS_M","Management services","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,642875251,,
"USA","United States","M_GS_M","Management services","GFT_TOT","Total contribution to GFT","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,825660533,,
"USA","United States","M_GS_M","Management services","GFT_TOT","Total contribution to GFT","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,729332477,,
"USA","United States","M_GS_M","Management services","GFT_TOT","Total contribution to GFT","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,671302029,,
"USA","United States","M_GS_M","Management services","GFT_TOT","Total contribution to GFT","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,683140912,,
