"COUNTRY","Country","VARIABLE","Variable","UNIT","Unit","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2009","2009",,,"0","Units",,,16132197.4,,
"BEL","Belgium","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2010","2010",,,"0","Units",,,16268611.071,,
"BEL","Belgium","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2011","2011",,,"0","Units",,,5420657.005,,
"BEL","Belgium","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2012","2012",,,"0","Units",,,11695504.391,,
"BEL","Belgium","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2013","2013",,,"0","Units",,,6873511.782,,
"BEL","Belgium","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2014","2014",,,"0","Units",,,7284130.909,,
"BEL","Belgium","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2009","2009",,,"0","Units",,,13652646.01,,
"BEL","Belgium","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2010","2010",,,"0","Units",,,12504083.158,,
"BEL","Belgium","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2012","2012",,,"0","Units",,,2879006.054,,
"BEL","Belgium","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2013","2013",,,"0","Units",,,1399153.321,,
"BEL","Belgium","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2014","2014",,,"0","Units",,,1224446.424,,
"BEL","Belgium","IFINP","Transfers based on input use","USD","US dollar","2009","2009",,,"0","Units",,,3000262.725,,
"BEL","Belgium","IFINP","Transfers based on input use","USD","US dollar","2010","2010",,,"0","Units",,,12504083.158,,
"BEL","Belgium","IFINP","Transfers based on input use","USD","US dollar","2012","2012",,,"0","Units",,,2879006.054,,
"BEL","Belgium","IFINP","Transfers based on input use","USD","US dollar","2013","2013",,,"0","Units",,,1399153.321,,
"BEL","Belgium","IFINP","Transfers based on input use","USD","US dollar","2014","2014",,,"0","Units",,,1224446.424,,
"BEL","Belgium","IFINP_FIX","Transfers based on fixed capital formation","USD","US dollar","2009","2009",,,"0","Units",,,3000262.725,,
"BEL","Belgium","IFINP_FIX","Transfers based on fixed capital formation","USD","US dollar","2010","2010",,,"0","Units",,,12504083.158,,
"BEL","Belgium","IFINP_FIX","Transfers based on fixed capital formation","USD","US dollar","2012","2012",,,"0","Units",,,2879006.054,,
"BEL","Belgium","IFINP_FIX","Transfers based on fixed capital formation","USD","US dollar","2013","2013",,,"0","Units",,,1399153.321,,
"BEL","Belgium","IFINP_FIX","Transfers based on fixed capital formation","USD","US dollar","2014","2014",,,"0","Units",,,1224446.424,,
"BEL","Belgium","IFINP_FIX_V","Support to vessel construction/purchase ","USD","US dollar","2012","2012",,,"0","Units",,,64266.839,,
"BEL","Belgium","IFINP_FIX_M","Support to modernisation  ","USD","US dollar","2009","2009",,,"0","Units",,,3000262.725,,
"BEL","Belgium","IFINP_FIX_M","Support to modernisation  ","USD","US dollar","2010","2010",,,"0","Units",,,12504083.158,,
"BEL","Belgium","IFINP_FIX_M","Support to modernisation  ","USD","US dollar","2012","2012",,,"0","Units",,,2814739.215,,
"BEL","Belgium","IFINP_FIX_M","Support to modernisation  ","USD","US dollar","2013","2013",,,"0","Units",,,1399153.321,,
"BEL","Belgium","IFINP_FIX_M","Support to modernisation  ","USD","US dollar","2014","2014",,,"0","Units",,,1224446.424,,
"BEL","Belgium","IFRPC","Transfers based on the reduction of productive capacity","USD","US dollar","2009","2009",,,"0","Units",,,10652383.285,,
"BEL","Belgium","GSMSC","Miscellaneous transfers to general services","USD","US dollar","2009","2009",,,"0","Units",,,478604.887,,
"BEL","Belgium","GSMSC","Miscellaneous transfers to general services","USD","US dollar","2010","2010",,,"0","Units",,,923750.728,,
"BEL","Belgium","GSMSC","Miscellaneous transfers to general services","USD","US dollar","2011","2011",,,"0","Units",,,223038.375,,
"BEL","Belgium","GSMSC","Miscellaneous transfers to general services","USD","US dollar","2012","2012",,,"0","Units",,,938495.49,,
"BEL","Belgium","GSMSC","Miscellaneous transfers to general services","USD","US dollar","2013","2013",,,"0","Units",,,2360128.138,,
"BEL","Belgium","GSMSC","Miscellaneous transfers to general services","USD","US dollar","2014","2014",,,"0","Units",,,882518.626,,
"BEL","Belgium","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2009","2009",,,"0","Units",,,2479551.389,,
"BEL","Belgium","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2010","2010",,,"0","Units",,,3764527.913,,
"BEL","Belgium","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2011","2011",,,"0","Units",,,5420657.005,,
"BEL","Belgium","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2012","2012",,,"0","Units",,,8816498.337,,
"BEL","Belgium","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2013","2013",,,"0","Units",,,5474358.462,,
"BEL","Belgium","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2014","2014",,,"0","Units",,,6059684.485,,
"BEL","Belgium","GSINF","Provision of infrastructure","USD","US dollar","2009","2009",,,"0","Units",,,101114.333,,
"BEL","Belgium","GSINF","Provision of infrastructure","USD","US dollar","2010","2010",,,"0","Units",,,401962.99,,
"BEL","Belgium","GSINF","Provision of infrastructure","USD","US dollar","2011","2011",,,"0","Units",,,517736.783,,
"BEL","Belgium","GSINF","Provision of infrastructure","USD","US dollar","2012","2012",,,"0","Units",,,231950.616,,
