,Region Name,Country,Class,Category,Type,Constant 2018 USD,Data Type
227,Africa,Eritrea,C3,Ambiguous,Rural fisher communities,38962.35906,Modeled
565,Africa,Gabon,A1,Beneficial,Fisheries mangt.,19147680.71,Modeled
566,Africa,Gabon,A2,Beneficial,Fishery R&D,4486358.331,Modeled
567,Africa,Gabon,A3,Beneficial,MPAs,12007262.61,Modeled
568,Africa,Gabon,B1,Capacity-enhancing,Boat constsruct. & renov.,1733674.407,Modeled
569,Africa,Gabon,B2,Capacity-enhancing,Fisheries dev. projects,5127871.903,Modeled
570,Africa,Gabon,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
571,Africa,Gabon,B4,Capacity-enhancing,Markt. & storage infrast.,3894780.973,Modeled
572,Africa,Gabon,B5,Capacity-enhancing,Tax exemption,6036531.899,Modeled
573,Africa,Gabon,B6,Capacity-enhancing,Fishing access,24940.23,Modeled
1875,Africa,Gabon,B7,Capacity-enhancing,Fuel subsidies,7429373.573,Modeled
574,Africa,Gabon,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
575,Africa,Gabon,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
576,Africa,Gabon,C3,Ambiguous,Rural fisher communities,2399530.004,Modeled
589,Africa,Gambia,A1,Beneficial,Fisheries mangt.,1085070.818,Reported
590,Africa,Gambia,A2,Beneficial,Fishery R&D,1244210.96,Modeled
591,Africa,Gambia,A3,Beneficial,MPAs,232967.7543,Modeled
592,Africa,Gambia,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
593,Africa,Gambia,B2,Capacity-enhancing,Fisheries dev. projects,5152611.661,Modeled
594,Africa,Gambia,B3,Capacity-enhancing,Fishing port develop.,4277858.326,Modeled
595,Africa,Gambia,B4,Capacity-enhancing,Markt. & storage infrast.,7284018.723,Modeled
596,Africa,Gambia,B5,Capacity-enhancing,Tax exemption,858149.0953,Modeled
597,Africa,Gambia,B6,Capacity-enhancing,Fishing access,16465.68,Modeled
1877,Africa,Gambia,B7,Capacity-enhancing,Fuel subsidies,0,Reported
598,Africa,Gambia,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
599,Africa,Gambia,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
600,Africa,Gambia,C3,Ambiguous,Rural fisher communities,640119.9899,Modeled
613,Africa,Ghana,A1,Beneficial,Fisheries mangt.,5107681.32,Reported
614,Africa,Ghana,A2,Beneficial,Fishery R&D,2397032.108,Modeled
615,Africa,Ghana,A3,Beneficial,MPAs,474609.9589,Modeled
616,Africa,Ghana,B1,Capacity-enhancing,Boat constsruct. & renov.,4693988.198,Reported
617,Africa,Ghana,B2,Capacity-enhancing,Fisheries dev. projects,474609.9589,Reported
618,Africa,Ghana,B2,Capacity-enhancing,Fisheries dev. projects,34442052.79,Modeled
619,Africa,Ghana,B3,Capacity-enhancing,Fishing port develop.,28594862.56,Modeled
620,Africa,Ghana,B4,Capacity-enhancing,Markt. & storage infrast.,296819.0076,Reported
621,Africa,Ghana,B5,Capacity-enhancing,Tax exemption,3790718.998,Reported
622,Africa,Ghana,B6,Capacity-enhancing,Fishing access,2053122.88,Modeled
1879,Africa,Ghana,B7,Capacity-enhancing,Fuel subsidies,63219653.83,Reported
623,Africa,Ghana,C1,Ambiguous,Fisher assistance,1045460.346,Reported
624,Africa,Ghana,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
625,Africa,Ghana,C3,Ambiguous,Rural fisher communities,474609.9589,Reported
674,Africa,Guinea,A1,Beneficial,Fisheries mangt.,1334303.946,Reported
675,Africa,Guinea,A2,Beneficial,Fishery R&D,38000,Reported
676,Africa,Guinea,A3,Beneficial,MPAs,1067840.652,Modeled
677,Africa,Guinea,B1,Capacity-enhancing,Boat constsruct. & renov.,175000,Reported
678,Africa,Guinea,B2,Capacity-enhancing,Fisheries dev. projects,11658575.83,Reported
679,Africa,Guinea,B3,Capacity-enhancing,Fishing port develop.,1123156.633,Reported
680,Africa,Guinea,B4,Capacity-enhancing,Markt. & storage infrast.,703850.6207,Reported
681,Africa,Guinea,B5,Capacity-enhancing,Tax exemption,2154352.98,Modeled
682,Africa,Guinea,B6,Capacity-enhancing,Fishing access,705379.22,Modeled
1884,Africa,Guinea,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
683,Africa,Guinea,C1,Ambiguous,Fisher assistance,16890.61528,Reported
684,Africa,Guinea,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
685,Africa,Guinea,C3,Ambiguous,Rural fisher communities,150000,Reported
1335,Africa,Guinea-Bissau,A1,Beneficial,Fisheries mangt.,2831394.736,Reported
1336,Africa,Guinea-Bissau,A2,Beneficial,Fishery R&D,61420.47523,Reported
1337,Africa,Guinea-Bissau,A3,Beneficial,MPAs,2620727.204,Modeled
1338,Africa,Guinea-Bissau,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1339,Africa,Guinea-Bissau,B2,Capacity-enhancing,Fisheries dev. projects,91002.74705,Reported
1340,Africa,Guinea-Bissau,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
1341,Africa,Guinea-Bissau,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
1342,Africa,Guinea-Bissau,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
1343,Africa,Guinea-Bissau,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
1939,Africa,Guinea-Bissau,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
1344,Africa,Guinea-Bissau,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
1345,Africa,Guinea-Bissau,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1346,Africa,Guinea-Bissau,C3,Ambiguous,Rural fisher communities,2779096.15,Modeled
878,Africa,Kenya,A1,Beneficial,Fisheries mangt.,7614342.818,Reported
879,Africa,Kenya,A2,Beneficial,Fishery R&D,529675.1309,Reported
880,Africa,Kenya,A3,Beneficial,MPAs,2234932.358,Modeled
881,Africa,Kenya,B1,Capacity-enhancing,Boat constsruct. & renov.,711467.0494,Reported
882,Africa,Kenya,B2,Capacity-enhancing,Fisheries dev. projects,38135798.14,Reported
883,Africa,Kenya,B3,Capacity-enhancing,Fishing port develop.,4444600.86,Reported
884,Africa,Kenya,B4,Capacity-enhancing,Markt. & storage infrast.,3204817.919,Reported
885,Africa,Kenya,B5,Capacity-enhancing,Tax exemption,441949.9208,Modeled
886,Africa,Kenya,B6,Capacity-enhancing,Fishing access,315437.34,Modeled
1901,Africa,Kenya,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
