Country,Type,Subtype,Class,Amount,Currency,Year,Source
Argentina,R&D,R&D,A2,19691616,ARS,2018,"Argentina Consolidated Budget of the National Public Sector, 2018"
Argentina,Port,Port & harbour construction & renovation,B3,4152596,ARS,2018,"Argentina Consolidated Budget of the National Public Sector, 2018"
Argentina,Fishery Management,Fishery management programs & services,A1,77132455.5,ARS,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Argentina,Fishery Management,Stock assessment,A1,213497624.5,ARS,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Argentina,Fishery Management,Monitoring control & surveillance,A1,77132455.5,ARS,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Argentina,R&D,R&D,A2,213497624.5,ARS,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Argentina,MPAs,MPAs,A3,9611032.2,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Argentina,Fishery Management,Fishery management programs & services,A1,47131,USD,2016,"OECDStat, Overseas Development Aid, Fisheries Policy & Management"
Argentina,Access,Access fees for third country agreements,B6,5988.41,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne."
Australia,Fishery Management,Fishery management programs & services,A1,46230000,AUD,2018,Australian Fisheries Management Authority Operational Plan 2018-19
Australia,R&D,R&D,A2,14500000,AUD,2018,Australia WTO Subsidy Notification
Australia,Assistance,Income support,C1,5638666.67,AUD,2018,Australia WTO Subsidy Notification
Australia,Assistance,Assistance-Other,C1,2819333.33,AUD,2018,Australia WTO Subsidy Notification
Australia,R&D,R&D,A2,34230000,AUD,2018,Fisheries Research and Development Corporation Operational Plan 2018-19
Australia,Market Infrastructure,Marketing support,B4,450000,AUD,2018,Fisheries Research and Development Corporation Operational Plan 2018-19
Australia,Fishery Management,Fishery management programs & services,A1,20413000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Fishery management programs & services,A1,7400000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Fishery management programs & services,A1,1123000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Fishery management programs & services,A1,1007304,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Fishery management programs & services,A1,250000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Fishery management programs & services,A1,3690000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Fishery management programs & services,A1,2287000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Fishery management programs & services,A1,13400000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Fishery management programs & services,A1,370000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Fishery management programs & services,A1,8000000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Fishery management programs & services,A1,191346,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Stock assessment,A1,700000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Stock enhancement,A1,700000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Stock enhancement,A1,350000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Stock enhancement,A1,1200000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Monitoring control & surveillance,A1,2600000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Monitoring control & surveillance,A1,20500000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Fishery Management,Management-Other,A1,497056,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,R&D,R&D,A2,3036000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,R&D,R&D,A2,2443288,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,R&D,R&D,A2,12000000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,R&D,R&D,A2,2200000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,R&D,R&D,A2,340000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Assistance,Income support,C1,15223875,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Assistance,Fisher assistance,C1,371184,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Assistance,Fisher assistance,C1,120000,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Assistance,Worker adjustment and retraining,C1,7548,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,Rural,Rural fisheries community development,C3,3089918,AUD,2016,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Australia,MPAs,MPAs,A3,140948863,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Australia,Access,Access fees for third country agreements,B6,2845893.93,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne."
Bahamas,MPAs,MPAs,A3,7306583.55,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Bahamas,Fishery Management,Fishery management programs & services,A1,17000,BSD,2018,"Bahamas National Budget (Revenue and Expenditure), 2018/19"
Bahamas,Fishery Management,Fishery management programs & services,A1,50000,BSD,2018,"Bahamas National Budget (Revenue and Expenditure), 2018/19"
Bahamas,Fishery Management,Fishery management programs & services,A1,107262,BSD,2018,"Bahamas National Budget (Revenue and Expenditure), 2017/18"
Bahamas,Fishery Management,Management-Other,A1,1945700,BSD,2018,"Bahamas National Budget (Revenue and Expenditure), 2018/19"
Bahamas,Fishery Management,Management-Other,A1,171450,BSD,2018,"Bahamas National Budget (Revenue and Expenditure), 2018/19"
Bahamas,R&D,R&D,A2,10000,BSD,2018,"Bahamas National Budget (Revenue and Expenditure), 2018/19"
Bahamas,R&D,R&D,A2,1690000,BSD,2018,"Bahamas National Budget (Revenue and Expenditure), 2018/19"
Bahrain,Access,Access fees for third country agreements,B6,989996.01,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne."
Bangladesh,R&D,R&D,A2,635496750,BDT,2018,"Bangladesh National Expenditure, 2017/18"
Bangladesh,Assistance,Assistance-Other,C1,47308800,USD,2018,The Third Pole (2018) Bangladesh Saves Its Favourite Fish
Bangladesh,MPAs,MPAs,A3,2891905.89,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Bangladesh,Fishery Management,Fishery management programs & services,A1,60734,USD,2016,"OECDStat, Overseas Development Aid, Fisheries Policy & Management"
Bangladesh,Fishery Management,Fishery management programs & services,A1,722650975.5,BDT,2018,"Bangladesh National Operating Expenditure, 2017/18"
Bangladesh,Market Infrastructure,Marketing support,B4,530756400,BDT,2018,"WTO Trade Policy Review Annual Report, 2019"
Barbados,MPAs,MPAs,A3,104592.92,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Barbados,Access,Access fees for third country agreements,B6,650.19,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne."
